Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.237552642822266,24.705322239577697,23.798602356597982,24.694236978633914,212818400
2015-01-05,23.554738998413086,24.0867993234754,23.368518814896508,24.006990190147395,257142000
2015-01-06,23.55695343017578,23.816332235230767,23.19559498538538,23.619026816885736,263188400
2015-01-07,23.88728141784668,23.98704200939966,23.654504449058404,23.76535030250549,160423600
2015-01-08,24.805078506469727,24.862718808875904,24.097881603917656,24.215379598807615,237458000
2015-01-09,24.831684112548828,25.106581306246863,24.432638435105563,24.977999733362566,214798000
2015-01-12,24.21981430053711,24.96913151622689,24.12005372825121,24.962481036924252,198603200
2015-01-13,24.434856414794922,25.006821335803178,24.144440865044796,24.703103135568583,268367600
2015-01-14,24.341747283935547,24.494713393902764,24.053547421688574,24.17326113255855,195826400
2015-01-15,23.681106567382812,24.39938717877788,23.645636776033786,24.386086218443666,240056000
2015-01-16,23.497102737426758,23.849593418861012,23.321966091998515,23.7276623076852,314053200
2015-01-20,24.102319717407227,24.157742637400762,23.610163917244932,23.907229956551088,199599600
2015-01-21,24.286327362060547,24.621080624373143,24.00256055420087,24.153310983755834,194303600
2015-01-22,24.91813850402832,24.93365684982183,24.324004892919493,24.443718571057783,215185600
2015-01-23,25.046733856201172,25.217435754023953,24.725279814182755,24.895983403379308,185859200
2015-01-26,25.073320388793945,25.352652286923902,25.00681392158292,25.215202881824744,222460000
2015-01-27,24.19542694091797,24.93587794352709,24.17104072370978,24.922575294176113,382274800
2015-01-28,25.563268661499023,26.18622347098334,25.563268661499023,26.07759332327218,585908400
2015-01-29,26.359142303466797,26.423433096590607,25.618691178673068,25.787177336812245,337745600
2015-01-30,25.97339630126953,26.602999818446985,25.904670734938115,26.24829349247566,334982000
2015-02-02,26.299283981323242,26.41899769418198,25.73397119942588,26.17070408947349,250956400
2015-02-03,26.3037166595459,26.40125984300976,26.07315712262307,26.270462571181156,207662800
2015-02-04,26.505451202392578,26.716059269378018,26.22833666007458,26.270458611746253,280598800
2015-02-05,26.69464111328125,26.759185637251118,26.541069601144372,26.7124451524758,168984800
2015-02-06,26.469846725463867,26.763634579747894,26.363014006611284,26.71244351282826,174826400
2015-02-09,26.64567756652832,26.672384475729245,26.358566406277816,26.385275013527394,155559200
2015-02-10,27.157583236694336,27.18651798938479,26.74361080930796,26.74583525332348,248034000
2015-02-11,27.794113159179688,27.80301602590847,27.26440532417871,27.32449755203773,294247200
2015-02-12,28.14577293395996,28.372791824140226,27.947688789457672,28.056745951498062,297898000
2015-02-13,28.283769607543945,28.32828225725113,27.965499237796237,28.32828225725113,217088800
2015-02-17,28.450695037841797,28.68439069759659,28.24815857298114,28.375021494492632,252609600
2015-02-18,28.648773193359375,28.662126646062973,28.36611265877822,28.406174714937425,179566800
2015-02-19,28.58867835998535,28.71776739221714,28.56197145541902,28.595355086126933,149449600
2015-02-20,28.822376251220703,28.822376251220703,28.49965534307122,28.626516545928553,195793600
2015-02-23,29.60136604309082,29.60136604309082,28.857994207147335,28.938118341303372,283896400
2015-02-24,29.416629791259766,29.73490182419154,29.194063171007127,29.58800703976149,276912400
2015-02-25,28.66435432434082,29.28976939734613,28.52191181926601,29.280864830474275,298846800
2015-02-26,29.02713394165039,29.12728822683171,28.179155786433736,28.66434931718159,365150000
2015-02-27,28.590906143188477,29.06052179210405,28.541941220848713,28.93365720347011,248059200
2015-03-02,28.731115341186523,28.995970081059973,28.555289259642336,28.76672680451823,192386800
2015-03-03,28.791217803955078,28.826829277853392,28.50855724854495,28.702192515306365,151265200
2015-03-04,28.608707427978516,28.835726296270856,28.559745903539564,28.73334756867589,126665200
2015-03-05,28.1346435546875,28.655448562033296,27.989974931075338,28.617612649133473,226068400
2015-03-06,28.176929473876953,28.7934381705221,28.101257649630615,28.57754831021603,291368400
2015-03-09,28.297121047973633,28.83795972189352,27.834182052567648,28.479625615655983,354114000
2015-03-10,27.71177101135254,28.31492636258057,27.553748911042486,28.13464793933434,275426400
2015-03-11,27.20654296875,27.769636241841642,27.17760991964379,27.765185656613205,275756000
2015-03-12,27.698410034179688,27.7985660134026,27.070772350299407,27.222117691705556,193450800
2015-03-13,27.507001876831055,27.909848527679312,27.28221086122838,27.687281955206664,207309200
2015-03-16,27.809696197509766,27.809696197509766,27.346758956585212,27.571550001661393,143497200
2015-03-17,28.274864196777344,28.337182579986006,27.965496724385353,28.021138380542887,204092400
2015-03-18,28.5931339263916,28.746705437477463,28.12574436427423,28.265960723494878,261083600
2015-03-19,28.37724494934082,28.76673654668471,28.354988626245177,28.655453233157886,183238000
2015-03-20,28.02113914489746,28.57755402360196,27.856440313632152,28.544170387435678,274780400
2015-03-23,28.31269645690918,28.455138942422373,28.159124962383117,28.292666278344058,150838800
2015-03-24,28.196964263916016,28.497427148688423,28.168029517967973,28.31715043665406,131369200
2015-03-25,27.460275650024414,28.22590555260699,27.460275650024414,28.163587155522166,206620800
2015-03-26,27.651676177978516,27.794118677825203,27.28666705986531,27.32227853385125,190291600
2015-03-27,27.431331634521484,27.754052503943598,27.35565981059288,27.725119459155888,158184800
2015-03-30,28.125743865966797,28.132420592756837,27.59826037492282,27.60938938493857,188398800
2015-03-31,27.6939640045166,28.152450688573246,27.67838440937046,28.06342370286021,168362400
2015-04-01,27.65390968322754,27.84754330397715,27.39795766445708,27.78077262149825,162485600
2015-04-02,27.892044067382812,27.945459571760715,27.64054444030727,27.82749955465406,128880400
2015-04-06,28.34385871887207,28.379470193137237,27.671708273578293,27.702867464536038,148776000
2015-04-07,28.045621871948242,28.51523590490739,28.038945144652654,28.408404872080666,140049200
2015-04-08,27.954364776611328,28.13241873682573,27.81414842912516,28.010006426922278,149316800
2015-04-09,28.168031692504883,28.172483975939894,27.745156460803337,28.01000959153403,129936000
2015-04-10,28.288217544555664,28.312700009016844,27.878695771838775,28.032265587583318,160752000
2015-04-13,28.232572555541992,28.615389073008984,28.179157047591232,28.570873036627983,145460400
2015-04-14,28.110166549682617,28.3305070418597,28.02336569827805,28.265962514242442,102098400
2015-04-15,28.216989517211914,28.294887477224574,28.045614005184056,28.134640972933457,115881600
2015-04-16,28.08122444152832,28.288211424799588,28.067870990365083,28.105706900693068,113476000
2015-04-17,27.765188217163086,28.074555709550506,27.700643688082796,27.94324220759483,207828000
2015-04-20,28.399499893188477,28.515233786494267,27.8586629477924,27.947689933899905,188217200
2015-04-21,28.245925903320312,28.533035301511646,28.19250870073043,28.51078068083827,129740400
2015-04-22,28.626514434814453,28.682156083705696,28.11461228384406,28.263731495340977,150618000
2015-04-23,28.860214233398438,29.027139204330012,28.519687564385798,28.555299039914537,183083600
2015-04-24,28.995973587036133,29.073873247981275,28.76227800029719,29.042714062822512,178103600
2015-04-27,29.52346420288086,29.630298638040404,29.18961423422666,29.447792358382642,387816800
2015-04-28,29.058290481567383,29.94410446846122,28.83795175345525,29.926302131643034,475696000
2015-04-29,28.630962371826172,29.287533049864596,28.555290555883296,28.969264496642147,253544400
2015-04-30,27.854211807250977,28.630968807003697,27.72734890644295,28.630968807003697,332781600
2015-05-01,28.699960708618164,28.962591047195207,27.88759402467133,28.06564627540629,234050400
2015-05-04,28.64432144165039,29.06052330317985,28.546391591878752,28.822375405226378,203953200
2015-05-05,27.99888038635254,28.58868054797657,27.994428103218496,28.521909885353836,197085600
2015-05-06,27.82305335998535,28.21031879941125,27.455818101093367,28.168030598663822,288564000
2015-05-07,27.995141983032227,28.178408847882512,27.718005393148463,27.885627588016693,175763600
2015-05-08,28.522602081298828,28.522602081298828,28.185122147536905,28.312514986684672,222201600
2015-05-11,28.232053756713867,28.509188703141405,28.07784075746508,28.471194739748423,168143200
2015-05-12,28.131481170654297,28.35721121618964,27.89680936295501,28.071136212038358,192640000
2015-05-13,28.162765502929688,28.426491170136035,28.131476161493442,28.19405484436593,138776800
2015-05-14,28.819847106933594,28.819847106933594,28.41979023179081,28.47566430660467,180814000
2015-05-15,28.779617309570312,28.94053490611256,28.65445993676693,28.846666876510024,152832000
2015-05-18,29.096981048583984,29.21543380338683,28.68798244962446,28.69245333007435,203531600
2015-05-19,29.07016372680664,29.25119517387914,28.974058549918123,29.208730333645796,178532800
2015-05-20,29.06792640686035,29.273542580713503,28.9070088081435,29.054517175347726,145819600
2015-05-21,29.36517333984375,29.418813669716776,29.016519721374767,29.070160051247793,158921600
2015-05-22,29.62220001220703,29.718305200753246,29.367414350183818,29.412116341293565,182384000
2015-05-26,28.969593048095703,29.70489787961476,28.85784488369443,29.635614563331302,282790400
2015-05-27,29.510440826416016,29.559610270034735,29.065685509521913,29.130497915956493,183332800
2015-05-28,29.452341079711914,29.49033504010866,29.300365238124932,29.470221192301462,122933200
2015-05-29,29.117088317871094,29.37857849545883,29.032158659920928,29.32940905246471,203538000
2015-06-01,29.175199508666992,29.36517268875821,29.065688526742438,29.11709171030462,128451200
2015-06-02,29.045581817626953,29.20202855186745,28.90254431628092,29.023230822614153,134670400
2015-06-03,29.081329345703125,29.264597897473493,29.032159900607756,29.202019223767014,123934000
2015-06-04,28.91147232055664,29.184137992765837,28.810899699560547,28.960641763760385,153800400
2015-06-05,28.752798080444336,28.98523614583699,28.68798565295545,28.942771302527778,142507200
2015-06-08,28.562828063964844,28.877958668101687,28.34603637830613,28.80867194987724,210699200
2015-06-09,28.477895736694336,28.625404100730464,28.075603453683758,28.316978141433584,224301600
2015-06-10,28.80420684814453,28.907013245711767,28.57400420594384,28.589648880157323,156349200
2015-06-11,28.73938751220703,29.094745799779854,28.71480278355391,28.8712495066725,141563600
